title,domain
Live Covid-19 News Updates: The Latest,www.nytimes.com
The latest on the coronavirus pandemic and vaccines: Live updates,www.cnn.com
"Chiefs' Daniel Kilgore releases photo of unfinished haircut due to barber 
testing positive for COVID-19",www.foxnews.com
"Younger adults are biggest spreaders of Covid-19, study suggests",www.cnn.com
"Idaho’s daily average of new COVID-19 cases reaches lowest point since late 
September",www.idahostatesman.com
What the New COVID-19 Variants Mean for Dining Out at Restaurants,www.eater.com
NYC health commissioner tests positive for COVID-19,www.fox5ny.com
Actor Sues Netflix Over COVID-19 Work Conditions,www.hollywoodreporter.com
Osterholm recommends delaying 2nd COVID-19 dose to get more vaccinated,www.startribune.com
"Biden Forges Ahead On Relief Bill Without GOP, But Signals Checks Could Be 
Targeted",www.npr.org
"'Lay Low And Cool It': Fauci Warns Against Super Bowl Parties Becoming 
Superspreaders",www.npr.org
Dr. Fauci reveals he often double masks,www.cnn.com
Dr. Anthony Fauci warns of Super Bowl COVID spread,www.abccolumbia.com
"'COVID tongue': Mouth ulcers or rashes likely a coronavirus symptom, says 
expert",www.euronews.com
"UVA antibody trial suggests treatment successfully prevents COVID-19 
symptoms and infections",www.nbc29.com
COVID-19: 0.54% of hospital staff got virus 1-10 days after vaccination,www.jpost.com
Live Covid-19 News Updates: The Latest,www.nytimes.com
"Live updates: House Democrats clear path for Biden’s $1.9 trillion 
coronavirus relief bill",www.washingtonpost.com
"As positive coronavirus tests mount, NWHL decides to suspend its season",www.washingtonpost.com
Why a particular coronavirus mutation has scientists' attention,www.nbcnews.com
"Pennsylvania GOP blasts Gov. Wolf’s proposed tax hike, demands better 
coronavirus response",www.foxnews.com
The latest on the coronavirus pandemic and vaccines: Live updates,www.cnn.com
"Coronavirus daily news updates, February 3: What to know today about 
COVID-19 in the Seattle area, Washington state and the world",www.seattletimes.com
"Coronavirus: Bay Area health leaders urge residents 65+ to be given 
priority for vaccines",www.mercurynews.com
"Coronavirus Updates: City To Open 24/7 Vaccination Site At Yankee Stadium 
On Friday",gothamist.com
"Coronavirus update: US hits 1M shots per day average as scientists eye 
second generation COVID-19 vaccines",finance.yahoo.com
